region,threeQDS_cell_no,richness,avg_QDS_richness,avg_QDS_turnover,rank
SWAFR,cell_125,1340,1738.1666666666667,0.7050167690288647,species
SWAFR,cell_126,1493,980.7777777777778,0.8371699019665805,species
SWAFR,cell_127,957,564.8888888888889,0.8089050035873199,species
SWAFR,cell_128,817,523.7777777777778,0.8529019078303827,species
SWAFR,cell_129,176,57.166666666666664,0.9684888892355388,species
SWAFR,cell_130,18,10.333333333333334,1,species
SWAFR,cell_145,1538,2689.6666666666665,0.695587337060211,species
SWAFR,cell_146,1712,1408.4444444444443,0.7801449565268903,species
SWAFR,cell_147,1086,672.7777777777778,0.8017579278028971,species
SWAFR,cell_148,809,444.55555555555554,0.798880850931557,species
SWAFR,cell_149,535,303.6666666666667,0.8439959796043747,species
SWAFR,cell_165,195,288,NaN,species
SWAFR,cell_166,1889,1703.4444444444443,0.7342102944595862,species
SWAFR,cell_167,1728,1514.7777777777778,0.7770732951390913,species
SWAFR,cell_168,1250,932.7777777777778,0.7924214436146019,species
SWAFR,cell_169,1151,757,0.7781939984738862,species
SWAFR,cell_170,929,672.5,0.8037960350549355,species
SWAFR,cell_186,3322,9390,0.6271813426130235,species
SWAFR,cell_187,1984,1849.6666666666667,0.7342253542401976,species
SWAFR,cell_188,1541,1077.2222222222222,0.7715745322586068,species
SWAFR,cell_189,1181,584.6666666666666,0.8142793561803925,species
SWAFR,cell_190,901,452.6666666666667,0.8347890657283626,species
SWAFR,cell_191,532,205.57142857142858,0.932278111831451,species
SWAFR,cell_192,204,180.5,0.8970588235294118,species
SWAFR,cell_199,11,14,NaN,species
SWAFR,cell_200,135,324,NaN,species
SWAFR,cell_206,1827,2059.285714285714,0.7055606531141171,species
SWAFR,cell_207,1355,904.1111111111111,0.7865431789510079,species
SWAFR,cell_208,1433,992.4444444444445,0.7866199302418958,species
SWAFR,cell_209,1328,871.4444444444445,0.8023367025776466,species
SWAFR,cell_210,1141,615.2222222222222,0.8223608520082727,species
SWAFR,cell_211,1158,664.8888888888889,0.8451076385065508,species
SWAFR,cell_212,760,316.8888888888889,0.8992312216607781,species
SWAFR,cell_213,747,534.6666666666666,0.8628552300411628,species
SWAFR,cell_214,494,412.2,0.9499260220661983,species
SWAFR,cell_215,192,33.77777777777778,0.9776671180895681,species
SWAFR,cell_216,118,201,NaN,species
SWAFR,cell_217,12,8.5,1,species
SWAFR,cell_218,146,115.66666666666667,0.8654790975512467,species
SWAFR,cell_219,42,66,NaN,species
SWAFR,cell_225,942,3648,NaN,species
SWAFR,cell_226,1832,1747.75,0.7039821034525566,species
SWAFR,cell_227,1382,717.5555555555555,0.7950705012413891,species
SWAFR,cell_228,1504,818.6666666666666,0.7890257865107202,species
SWAFR,cell_229,1351,876.8888888888889,0.8409200063230735,species
SWAFR,cell_230,1250,808.2222222222222,0.797054668105516,species
SWAFR,cell_231,1548,1149.6666666666667,0.7936348843185355,species
SWAFR,cell_232,1631,1617.5555555555557,0.8401327128722577,species
SWAFR,cell_233,1112,601.6666666666666,0.8583428140437279,species
SWAFR,cell_234,1271,912.6666666666666,0.8247577183595414,species
SWAFR,cell_235,1037,525.6666666666666,0.8738228011168001,species
SWAFR,cell_236,1037,792,0.8369241190191086,species
SWAFR,cell_237,71,29.333333333333332,0.9883626796195102,species
SWAFR,cell_245,1514,2769,0.6107692737502469,species
SWAFR,cell_246,1736,1658.3333333333333,0.707877033031342,species
SWAFR,cell_247,1486,927.7777777777778,0.7544244240476085,species
SWAFR,cell_248,1680,1005.6666666666666,0.8343935701132487,species
SWAFR,cell_249,1957,1910.888888888889,0.8252538285024176,species
SWAFR,cell_250,1711,1057.888888888889,0.7913414789563413,species
SWAFR,cell_251,1587,1986.2,0.7143041982952496,species
SWAFR,cell_252,1030,1817.6666666666667,0.8039280989166699,species
SWAFR,cell_254,1040,2418,0.6740384615384616,species
SWAFR,cell_255,701,903.3333333333334,0.6659286288458255,species
SWAFR,cell_256,563,458,0.8733005212385212,species
SWAFR,cell_266,739,1293.5,0.7645466847090663,species
SWAFR,cell_267,1278,2154.1666666666665,0.652899840911556,species
SWAFR,cell_268,1788,2196.285714285714,0.6913991529607703,species
SWAFR,cell_269,1987,3115.3333333333335,0.670854706027859,species
SWAFR,cell_270,683,2035,NaN,species
GCFR,cell_22,276,1307,NaN,genus
GCFR,cell_42,301,382.3333333333333,0.6561544621415721,genus
GCFR,cell_43,262,505.75,0.6855712236782552,genus
GCFR,cell_62,189,285.3333333333333,0.6568361821965116,genus
GCFR,cell_63,390,787.6666666666666,0.6257029037844933,genus
GCFR,cell_64,84,78.5,0.8095238095238095,genus
GCFR,cell_83,369,705.625,0.5809628542798351,genus
GCFR,cell_84,372,431.85714285714283,0.7150017536797496,genus
GCFR,cell_85,136,57.5,0.9109497935154502,genus
GCFR,cell_103,186,234,0.6990940926371871,genus
GCFR,cell_104,305,345.6666666666667,0.7396108371588836,genus
GCFR,cell_105,453,709.8888888888889,0.7760763453636872,genus
GCFR,cell_106,300,408,0.8205904557356246,genus
GCFR,cell_124,417,915.1666666666666,0.6365577776251488,genus
GCFR,cell_125,550,1361.5555555555557,0.6384536010356672,genus
GCFR,cell_126,340,347.55555555555554,0.7206913950555808,genus
GCFR,cell_127,128,139.33333333333334,0.8739616223361708,genus
GCFR,cell_128,98,192,NaN,genus
GCFR,cell_144,435,686.7142857142857,0.6744789038011658,genus
GCFR,cell_145,563,1967,0.5488414310225265,genus
GCFR,cell_146,395,416.1111111111111,0.7775283781283026,genus
GCFR,cell_147,240,198.77777777777777,0.7633317133682365,genus
GCFR,cell_148,86,54.333333333333336,0.8794430794430794,genus
GCFR,cell_164,465,1408.5,0.5596240518601154,genus
GCFR,cell_165,723,3119.222222222222,0.5751070472557259,genus
GCFR,cell_166,496,784.7777777777778,0.6507666649450314,genus
GCFR,cell_167,483,749.6666666666666,0.663200357081405,genus
GCFR,cell_168,412,1230.75,0.5950653058334113,genus
GCFR,cell_169,537,959.8571428571429,0.67200545189465,genus
GCFR,cell_170,446,562.875,0.801030593264797,genus
GCFR,cell_171,368,416,0.7611373073067146,genus
GCFR,cell_172,420,440.5,0.8291153344946093,genus
GCFR,cell_173,425,569.75,0.7539446430119994,genus
GCFR,cell_184,681,7471.5,0.5095447870778267,genus
GCFR,cell_185,851,6506.75,0.4922506266736612,genus
GCFR,cell_186,663,1592,0.6283223628806923,genus
GCFR,cell_187,680,1963,0.6111226266730199,genus
GCFR,cell_188,655,1766.2857142857142,0.6262059342142805,genus
GCFR,cell_189,584,1573.2,0.6685535321642293,genus
GCFR,cell_190,590,1880,0.5624834414442966,genus
GCFR,cell_191,461,1310.3333333333333,0.5653226228740675,genus
GCFR,cell_192,350,491.25,0.7010739399814244,genus
GCFR,cell_193,579,1463,0.6219818906764091,genus
GCFR,cell_206,422,2858.6666666666665,0.4549964400617458,genus
SWAFR,cell_43,201,297.75,0.790661136016152,genus
SWAFR,cell_44,53,121,0.6226415094339622,genus
SWAFR,cell_64,361,946.375,0.674526328201495,genus
SWAFR,cell_65,85,47,0.9294628250808491,genus
SWAFR,cell_66,103,128.5,0.7572815533980582,genus
SWAFR,cell_84,456,1585.5,0.5435611133849138,genus
SWAFR,cell_85,282,353.3333333333333,0.793866155061599,genus
SWAFR,cell_86,234,237.22222222222223,0.7884618753610954,genus
SWAFR,cell_87,184,207.33333333333334,0.8377088169399733,genus
SWAFR,cell_88,30,66.5,0.9,genus
SWAFR,cell_104,311,4177,NaN,genus
SWAFR,cell_105,434,898.2222222222222,0.6163172075614923,genus
SWAFR,cell_106,372,709.2222222222222,0.6755895714269421,genus
SWAFR,cell_107,272,243.55555555555554,0.7865574075199415,genus
SWAFR,cell_108,273,294.14285714285717,0.7177743614356078,genus
SWAFR,cell_125,373,1738.1666666666667,0.5336933577081436,genus
SWAFR,cell_126,415,980.7777777777778,0.6726387767395954,genus
SWAFR,cell_127,316,564.8888888888889,0.6410328363627862,genus
SWAFR,cell_128,287,523.7777777777778,0.7138768207770163,genus
SWAFR,cell_129,95,57.166666666666664,0.9026916795818419,genus
SWAFR,cell_130,14,10.333333333333334,1,genus
SWAFR,cell_145,424,2689.6666666666665,0.5054003453357955,genus
SWAFR,cell_146,451,1408.4444444444443,0.5855403264226559,genus
SWAFR,cell_147,341,672.7777777777778,0.6046883531427797,genus
SWAFR,cell_148,284,444.55555555555554,0.645274939094429,genus
SWAFR,cell_149,237,303.6666666666667,0.7329661816353183,genus
SWAFR,cell_165,125,288,NaN,genus
SWAFR,cell_166,549,1703.4444444444443,0.5391795948747933,genus
SWAFR,cell_167,466,1514.7777777777778,0.5500646643073624,genus
SWAFR,cell_168,389,932.7777777777778,0.628377364920024,genus
SWAFR,cell_169,394,757,0.6286806304342974,genus
SWAFR,cell_170,315,672.5,0.6380500573273802,genus
SWAFR,cell_186,891,9390,0.4519182613928855,genus
SWAFR,cell_187,568,1849.6666666666667,0.5362659397404097,genus
SWAFR,cell_188,461,1077.2222222222222,0.5834806344041368,genus
SWAFR,cell_189,380,584.6666666666666,0.643056153983212,genus
SWAFR,cell_190,295,452.6666666666667,0.6820167277879878,genus
SWAFR,cell_191,182,205.57142857142858,0.7953228513843383,genus
SWAFR,cell_192,98,180.5,0.7857142857142857,genus
SWAFR,cell_199,9,14,NaN,genus
SWAFR,cell_200,84,324,NaN,genus
SWAFR,cell_206,588,2059.285714285714,0.5203207936800495,genus
SWAFR,cell_207,392,904.1111111111111,0.586826188728261,genus
SWAFR,cell_208,439,992.4444444444445,0.6147655241778169,genus
SWAFR,cell_209,387,871.4444444444445,0.6401541774875698,genus
SWAFR,cell_210,318,615.2222222222222,0.6307385640788725,genus
SWAFR,cell_211,318,664.8888888888889,0.6530792231666096,genus
SWAFR,cell_212,231,316.8888888888889,0.7258148786798652,genus
SWAFR,cell_213,249,534.6666666666666,0.7511526339338864,genus
SWAFR,cell_214,193,412.2,0.8760206739883276,genus
SWAFR,cell_215,99,33.77777777777778,0.9061119910627616,genus
SWAFR,cell_216,69,201,NaN,genus
SWAFR,cell_217,9,8.5,1,genus
SWAFR,cell_218,84,115.66666666666667,0.7339250085999312,genus
SWAFR,cell_219,30,66,NaN,genus
SWAFR,cell_225,375,3648,NaN,genus
SWAFR,cell_226,613,1747.75,0.5227100553377061,genus
SWAFR,cell_227,417,717.5555555555555,0.5904452497711551,genus
SWAFR,cell_228,433,818.6666666666666,0.5925758634736914,genus
SWAFR,cell_229,363,876.8888888888889,0.6705972155094597,genus
SWAFR,cell_230,335,808.2222222222222,0.6225694131306354,genus
SWAFR,cell_231,369,1149.6666666666667,0.588181479279693,genus
SWAFR,cell_232,407,1617.5555555555557,0.6642767242265784,genus
SWAFR,cell_233,324,601.6666666666666,0.695644645576535,genus
SWAFR,cell_234,383,912.6666666666666,0.6436633174835636,genus
SWAFR,cell_235,329,525.6666666666666,0.723143372181933,genus
SWAFR,cell_236,336,792,0.6521366917955421,genus
SWAFR,cell_237,49,29.333333333333332,0.9042791833489507,genus
SWAFR,cell_245,512,2769,0.4858658708379374,genus
SWAFR,cell_246,578,1658.3333333333333,0.539882147958432,genus
SWAFR,cell_247,479,927.7777777777778,0.5431262069355013,genus
SWAFR,cell_248,438,1005.6666666666666,0.6527285288693261,genus
SWAFR,cell_249,463,1910.888888888889,0.6335226409285453,genus
SWAFR,cell_250,421,1057.888888888889,0.5887118547604209,genus
SWAFR,cell_251,414,1986.2,0.5151670284572802,genus
SWAFR,cell_252,297,1817.6666666666667,0.6058573534439877,genus
SWAFR,cell_254,379,2418,0.49604221635883905,genus
SWAFR,cell_255,267,903.3333333333334,0.47658541732615806,genus
SWAFR,cell_256,239,458,0.7416224201864409,genus
SWAFR,cell_266,342,1293.5,0.5964912280701754,genus
SWAFR,cell_267,423,2154.1666666666665,0.47037144147074855,genus
SWAFR,cell_268,535,2196.285714285714,0.518446294935183,genus
SWAFR,cell_269,532,3115.3333333333335,0.5129535158741516,genus
SWAFR,cell_270,227,2035,NaN,genus
GCFR,cell_22,69,1307,NaN,family
GCFR,cell_42,72,382.3333333333333,0.46615212265673794,family
GCFR,cell_43,64,505.75,0.5337203217644647,family
GCFR,cell_62,52,285.3333333333333,0.49722222222222223,family
GCFR,cell_63,81,787.6666666666666,0.411417483444576,family
GCFR,cell_64,33,78.5,0.7272727272727273,family
GCFR,cell_83,83,705.625,0.43337593937730545,family
GCFR,cell_84,87,431.85714285714283,0.5191874612370334,family
GCFR,cell_85,39,57.5,0.7309475532616904,family
GCFR,cell_103,55,234,0.4747863247863248,family
GCFR,cell_104,71,345.6666666666667,0.5665483409164088,family
GCFR,cell_105,94,709.8888888888889,0.5863650956020914,family
GCFR,cell_106,69,408,0.6194396959345211,family
GCFR,cell_124,85,915.1666666666666,0.447437401669136,family
GCFR,cell_125,112,1361.5555555555557,0.4457875720440861,family
GCFR,cell_126,83,347.55555555555554,0.556020162295748,family
GCFR,cell_127,37,139.33333333333334,0.6637566137566138,family
GCFR,cell_128,39,192,NaN,family
GCFR,cell_144,96,686.7142857142857,0.47517539721393093,family
GCFR,cell_145,120,1967,0.40189830324157705,family
GCFR,cell_146,84,416.1111111111111,0.5624246539935147,family
GCFR,cell_147,57,198.77777777777777,0.5635765018419779,family
GCFR,cell_148,30,54.333333333333336,0.6318881118881119,family
GCFR,cell_164,99,1408.5,0.37230060743598153,family
GCFR,cell_165,136,3119.222222222222,0.41306832606998506,family
GCFR,cell_166,99,784.7777777777778,0.41158241036705456,family
GCFR,cell_167,103,749.6666666666666,0.4486022964276216,family
GCFR,cell_168,91,1230.75,0.40289358504287254,family
GCFR,cell_169,117,959.8571428571429,0.4667510941833384,family
GCFR,cell_170,109,562.875,0.6278985464158251,family
GCFR,cell_171,89,416,0.5222675496446023,family
GCFR,cell_172,109,440.5,0.646372562965105,family
GCFR,cell_173,111,569.75,0.5210933865379691,family
GCFR,cell_184,137,7471.5,0.39416058394160586,family
GCFR,cell_185,155,6506.75,0.3561008844797369,family
GCFR,cell_186,129,1592,0.4436181358219389,family
GCFR,cell_187,127,1963,0.42184909505106893,family
GCFR,cell_188,131,1766.2857142857142,0.43088661860937516,family
GCFR,cell_189,128,1573.2,0.47615587489447153,family
GCFR,cell_190,141,1880,0.3605285756254096,family
GCFR,cell_191,119,1310.3333333333333,0.44142857142857145,family
GCFR,cell_192,95,491.25,0.48028087896508953,family
GCFR,cell_193,133,1463,0.393939393939394,family
GCFR,cell_206,89,2858.6666666666665,0.27608860154126486,family
SWAFR,cell_43,71,297.75,0.6137829603700857,family
SWAFR,cell_44,26,121,0.5384615384615384,family
SWAFR,cell_64,89,946.375,0.4623080390706683,family
SWAFR,cell_65,35,47,0.7862584700915536,family
SWAFR,cell_66,43,128.5,0.4883720930232558,family
SWAFR,cell_84,104,1585.5,0.3215238968890654,family
SWAFR,cell_85,78,353.3333333333333,0.6429938681959959,family
SWAFR,cell_86,66,237.22222222222223,0.6113858375824971,family
SWAFR,cell_87,54,207.33333333333334,0.6483962070420143,family
SWAFR,cell_88,16,66.5,0.8125,family
SWAFR,cell_104,85,4177,NaN,family
SWAFR,cell_105,99,898.2222222222222,0.3718287324451901,family
SWAFR,cell_106,85,709.2222222222222,0.4794119404862733,family
SWAFR,cell_107,70,243.55555555555554,0.5718310784653384,family
SWAFR,cell_108,71,294.14285714285717,0.5077885329224661,family
SWAFR,cell_125,95,1738.1666666666667,0.3758655943822187,family
SWAFR,cell_126,88,980.7777777777778,0.46402123596933026,family
SWAFR,cell_127,78,564.8888888888889,0.4280309548301048,family
SWAFR,cell_128,72,523.7777777777778,0.4930417720569676,family
SWAFR,cell_129,33,57.166666666666664,0.7283507875765115,family
SWAFR,cell_130,8,10.333333333333334,0.8571428571428571,family
SWAFR,cell_145,96,2689.6666666666665,0.3087746979505702,family
SWAFR,cell_146,97,1408.4444444444443,0.3834012746351072,family
SWAFR,cell_147,82,672.7777777777778,0.40557516461335924,family
SWAFR,cell_148,69,444.55555555555554,0.41258277623626877,family
SWAFR,cell_149,65,303.6666666666667,0.5345217804888592,family
SWAFR,cell_165,50,288,NaN,family
SWAFR,cell_166,117,1703.4444444444443,0.364630681719898,family
SWAFR,cell_167,101,1514.7777777777778,0.3428613258912491,family
SWAFR,cell_168,86,932.7777777777778,0.41619854642217036,family
SWAFR,cell_169,86,757,0.38260149957472867,family
SWAFR,cell_170,77,672.5,0.4183256642989824,family
SWAFR,cell_186,155,9390,0.29697986087897066,family
SWAFR,cell_187,114,1849.6666666666667,0.3538128855321573,family
SWAFR,cell_188,98,1077.2222222222222,0.3548358094544508,family
SWAFR,cell_189,82,584.6666666666666,0.40675580359103725,family
SWAFR,cell_190,75,452.6666666666667,0.4878787568968935,family
SWAFR,cell_191,58,205.57142857142858,0.634643492485383,family
SWAFR,cell_192,36,180.5,0.4722222222222222,family
SWAFR,cell_199,9,14,NaN,family
SWAFR,cell_200,37,324,NaN,family
SWAFR,cell_206,129,2059.285714285714,0.3204786228414811,family
SWAFR,cell_207,96,904.1111111111111,0.4142544291690685,family
SWAFR,cell_208,94,992.4444444444445,0.39961600447028167,family
SWAFR,cell_209,87,871.4444444444445,0.3969651239963544,family
SWAFR,cell_210,80,615.2222222222222,0.39114883534843886,family
SWAFR,cell_211,71,664.8888888888889,0.41386630137010383,family
SWAFR,cell_212,62,316.8888888888889,0.5038798771114709,family
SWAFR,cell_213,69,534.6666666666666,0.585262436254009,family
SWAFR,cell_214,59,412.2,0.741764335731795,family
SWAFR,cell_215,39,33.77777777777778,0.7552390196939782,family
SWAFR,cell_216,34,201,NaN,family
SWAFR,cell_217,7,8.5,1,family
SWAFR,cell_218,38,115.66666666666667,0.5431199224302673,family
SWAFR,cell_219,22,66,NaN,family
SWAFR,cell_225,93,3648,NaN,family
SWAFR,cell_226,129,1747.75,0.3397281766034772,family
SWAFR,cell_227,94,717.5555555555555,0.4120265025433203,family
SWAFR,cell_228,91,818.6666666666666,0.3813039341069788,family
SWAFR,cell_229,79,876.8888888888889,0.43741264984847067,family
SWAFR,cell_230,75,808.2222222222222,0.39542330196025866,family
SWAFR,cell_231,84,1149.6666666666667,0.3643905715131112,family
SWAFR,cell_232,86,1617.5555555555557,0.41468869295637983,family
SWAFR,cell_233,74,601.6666666666666,0.4798115542818822,family
SWAFR,cell_234,88,912.6666666666666,0.41270635313228027,family
SWAFR,cell_235,83,525.6666666666666,0.525825780684203,family
SWAFR,cell_236,83,792,0.4674914074541314,family
SWAFR,cell_237,28,29.333333333333332,0.75,family
SWAFR,cell_245,105,2769,0.28955123220109946,family
SWAFR,cell_246,114,1658.3333333333333,0.319476023036441,family
SWAFR,cell_247,94,927.7777777777778,0.3281149067904651,family
SWAFR,cell_248,89,1005.6666666666666,0.42956087071325433,family
SWAFR,cell_249,95,1910.888888888889,0.40929675808363575,family
SWAFR,cell_250,86,1057.888888888889,0.37605648116079865,family
SWAFR,cell_251,88,1986.2,0.2901285191298028,family
SWAFR,cell_252,72,1817.6666666666667,0.3747332479726846,family
SWAFR,cell_254,92,2418,0.2717391304347826,family
SWAFR,cell_255,77,903.3333333333334,0.35278265620731375,family
SWAFR,cell_256,72,458,0.584064775124175,family
SWAFR,cell_266,92,1293.5,0.358695652173913,family
SWAFR,cell_267,100,2154.1666666666665,0.2832859316293969,family
SWAFR,cell_268,111,2196.285714285714,0.3215365666922605,family
SWAFR,cell_269,109,3115.3333333333335,0.3403969212468533,family
SWAFR,cell_270,63,2035,NaN,family
