variable,scale,outliers,model_type,slope,slope_sig,quadratic_coeff,quadratic_sig,best_model,delta_AIC,delta_AIC_sig
CEC,HDS_log10,all_data,linear,  -0.03, , , ,*,0.00, 
CEC,HDS_log10,sans_PC1,linear,  -0.04,., , ,*,0.59, 
CEC,HDS_log10,sans_MV,linear,  -0.04, , , ,*,0.49, 
Clay,HDS_log10,all_data,linear,  0.08,**, , ,*,1.52, 
Clay,HDS_log10,sans_PC1,linear,  0.08,**, , ,*,1.73, 
Clay,HDS_log10,sans_MV,linear,  0.08,**, , ,*,1.46, 
Elevation,HDS_log10,all_data,linear,  0.06,*, , ,*, 0.00, 
Elevation,HDS_log10,sans_PC1,linear,  0.06,*, , ,*, 0.00, 
Elevation,HDS_log10,sans_MV,linear,  0.06,*, , ,*, 0.00, 
MAP,HDS_log10,all_data,quadratic,  0.15,***,  0.04,*,*, 0.00, 
MAP,HDS_log10,sans_PC1,quadratic,  0.15,***,  0.04,*,*, 0.00, 
MAP,HDS_log10,sans_MV,quadratic,  0.15,***,  0.05,*,*, 0.00, 
NDVI,HDS_log10,all_data,linear,  0.15,***, , ,*,0.20, 
NDVI,HDS_log10,sans_PC1,linear,  0.14,***, , ,*,0.02, 
NDVI,HDS_log10,sans_MV,linear,  0.14,***, , ,*,0.07, 
PC1,HDS_log10,all_data,linear,  0.07,***, , ,*,0.00, 
PC1,HDS_log10,sans_PC1,linear,  0.07,***, , ,*,0.00, 
PC1,HDS_log10,sans_MV,linear,  0.07,***, , ,*,0.00, 
PDQ,HDS_log10,all_data,linear,  0.11,***, , ,*,0.00, 
PDQ,HDS_log10,sans_PC1,linear,  0.11,***, , ,*,0.00, 
PDQ,HDS_log10,sans_MV,linear,  0.11,***, , ,*,0.00, 
pH,HDS_log10,all_data,linear,  0.03, , , ,*,0.00, 
pH,HDS_log10,sans_PC1,linear,  0.03, , , ,*,0.00, 
pH,HDS_log10,sans_MV,linear,  0.03, , , ,*,0.00, 
Soil_C,HDS_log10,all_data,linear,  0.07,**, , ,*,1.22, 
Soil_C,HDS_log10,sans_PC1,linear,  0.07,**, , ,*,1.36, 
Soil_C,HDS_log10,sans_MV,linear,  0.07,**, , ,*,1.34, 
Surface_T,HDS_log10,all_data,linear,  0.07,**, , ,*, 1.04, 
Surface_T,HDS_log10,sans_PC1,linear,  0.07,**, , ,*, 0.00, 
Surface_T,HDS_log10,sans_MV,linear,  0.07,**, , ,*, 0.00, 
CEC,QDS,all_data,linear,  30.78,**, , ,*,0.00, 
CEC,QDS,sans_PC1,linear,  18.97,*, , ,*,0.00, 
CEC,QDS,sans_MV,linear,  14.31,., , ,*,0.00, 
Clay,QDS,all_data,linear, 31.43,**, , ,*,0.00, 
Clay,QDS,sans_PC1,linear, 33.00,***, , ,*,0.00, 
Clay,QDS,sans_MV,linear, 31.07,***, , ,*,0.00, 
Elevation,QDS,all_data,quadratic, 71.81,***, 30.11,***,*, 0.00, 
Elevation,QDS,sans_PC1,linear, 53.77,***, , ,*, 0.63, 
Elevation,QDS,sans_MV,quadratic, 54.07,***, 12.16,*,*, 0.00, 
MAP,QDS,all_data,quadratic,145.26,***, 50.68,***,*, 0.00, 
MAP,QDS,sans_PC1,quadratic,111.20,***, 32.50,***,*, 0.00, 
MAP,QDS,sans_MV,quadratic,121.25,***, 35.73,***,*, 0.00, 
NDVI,QDS,all_data,quadratic, 97.24,***, 17.07,**,*,0.00, 
NDVI,QDS,sans_PC1,quadratic, 77.14,***, 12.79,**,*,0.00, 
NDVI,QDS,sans_MV,quadratic, 75.61,***, 12.43,**,*,0.00, 
PC1,QDS,all_data,quadratic, 53.41,***, 5.86,***,*,0.00, 
PC1,QDS,sans_PC1,quadratic, 40.79,***, 2.93,*,*,0.00, 
PC1,QDS,sans_MV,quadratic, 41.00,***, 3.24,*,*,0.00, 
PDQ,QDS,all_data,quadratic, 93.65,***,17.19,**,*,0.00, 
PDQ,QDS,sans_PC1,quadratic, 69.17,***, 9.29,*,*,0.00, 
PDQ,QDS,sans_MV,quadratic, 74.21,***,10.25,*,*,0.00, 
pH,QDS,all_data,linear, 24.75,*, , ,*,0.08, 
pH,QDS,sans_PC1,linear, 15.88,*, , ,*,0.00, 
pH,QDS,sans_MV,linear, 12.97, , , ,*,0.00, 
Soil_C,QDS,all_data,quadratic, 81.64,***,15.81,**,*,0.00, 
Soil_C,QDS,sans_PC1,quadratic, 57.88,***, 8.39,*,*,0.00, 
Soil_C,QDS,sans_MV,quadratic, 56.08,***, 8.87,*,*,0.00, 
Surface_T,QDS,all_data,quadratic, 85.24,***, 21.01,***,*, 0.00, 
Surface_T,QDS,sans_PC1,quadratic, 55.52,***, 11.20,*,*, 0.00, 
Surface_T,QDS,sans_MV,quadratic, 54.37,***, 11.03,*,*, 0.00, 
CEC,QDS_log10,all_data,linear,   0.03,*, , ,*,0.00, 
CEC,QDS_log10,sans_PC1,linear,   0.03, , , ,*,0.00, 
CEC,QDS_log10,sans_MV,linear,   0.02, , , ,*,0.00, 
Clay,QDS_log10,all_data,linear,  0.07,***, , ,*,0.00, 
Clay,QDS_log10,sans_PC1,linear,  0.08,***, , ,*,0.00, 
Clay,QDS_log10,sans_MV,linear,  0.08,***, , ,*,0.00, 
Elevation,QDS_log10,all_data,linear,  0.11,***, , ,*, 0.00, 
Elevation,QDS_log10,sans_PC1,linear,  0.10,***, , ,*, 0.00, 
Elevation,QDS_log10,sans_MV,linear,  0.10,***, , ,*, 0.00, 
MAP,QDS_log10,all_data,quadratic,  0.21,***,  0.06,***,*, 0.00, 
MAP,QDS_log10,sans_PC1,quadratic,  0.19,***,  0.05,***,*, 0.00, 
MAP,QDS_log10,sans_MV,quadratic,  0.20,***,  0.05,***,*, 0.00, 
NDVI,QDS_log10,all_data,linear,  0.13,***, , ,*,0.00, 
NDVI,QDS_log10,sans_PC1,linear,  0.12,***, , ,*,0.00, 
NDVI,QDS_log10,sans_MV,linear,  0.12,***, , ,*,0.00, 
PC1,QDS_log10,all_data,linear,  0.08,***, , ,*,0.00, 
PC1,QDS_log10,sans_PC1,linear,  0.07,***, , ,*,0.00, 
PC1,QDS_log10,sans_MV,linear,  0.07,***, , ,*,0.00, 
PDQ,QDS_log10,all_data,linear,  0.14,***, , ,*,0.00, 
PDQ,QDS_log10,sans_PC1,linear,  0.13,***, , ,*,0.00, 
PDQ,QDS_log10,sans_MV,linear,  0.13,***, , ,*,0.00, 
pH,QDS_log10,all_data,quadratic,  0.02, ,  -0.02,*,*,0.00, 
pH,QDS_log10,sans_PC1,quadratic,  0.02, ,  -0.02,*,*,0.00, 
pH,QDS_log10,sans_MV,quadratic,  0.02, ,  -0.02,*,*,0.00, 
Soil_C,QDS_log10,all_data,linear,  0.10,***, , ,*,0.00, 
Soil_C,QDS_log10,sans_PC1,linear,  0.09,***, , ,*,0.00, 
Soil_C,QDS_log10,sans_MV,linear,  0.09,***, , ,*,0.00, 
Surface_T,QDS_log10,all_data,linear,  0.09,***, , ,*, 0.91, 
Surface_T,QDS_log10,sans_PC1,linear,  0.07,***, , ,*, 0.00, 
Surface_T,QDS_log10,sans_MV,linear,  0.07,***, , ,*, 0.00, 
