"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Opuntia stricta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Cactacea";"Terrestrial";
"Oxalis latifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Oxalidaceae";"Terrestrial";
"Oxalis pes-caprae";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Oxalidaceae";"Terrestrial";
"Oxycaryum cubense";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Cyperaceae";"Terrestrial";
"Panicum repens";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Parthenium hysterophorus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Paspalum scrobiculatum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Paspalum vaginatum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Passiflora tarminiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Passifloraceae";"Terrestrial";
"Phalaris arundinacea";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Phymatosorus scolopendria";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"	Polypodiaceae";"Terrestrial";
"Pinus";"Plantae";"Coniferophyta";"Pinopsida";"Pinales";"Pinaceae";"Terrestrial";
"Pinus pinaster";"Plantae";"Coniferophyta";"Pinopsida";"Pinales";"Pinaceae";"Terrestrial";
"Pittosporum undulatum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Pittosporaceae";"Terrestrial";
"Pittosporum viridiflorum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Pittosporaceae";"Terrestrial";
"Poa annua";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Poa pratensis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Prosopis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Psidium guajava";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Psoralea pinnata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Ricinus communis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Rottboellia cochinchinensis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Rubus discolor";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Rubus pinnatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Rumex acetosella";"Plantae";"Magnoliophyta";"Magnoliopsida";"Polygonales";"Polygonaceae";"Terrestrial";
"Sagina procumbens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Terrestrial";
"Salvinia molesta";"Plantae";"Pteridophyta";"Filicopsida";"Hydropteridales";"Salviniaceae";"Terrestrial";
"Sansevieria hyacinthoides";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Scaevola sericea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Campanulales";"Goodeniaceae";"Terrestrial";
"Senecio angulatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Senecio inaequidens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Sesbania punicea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Setaria verticillata";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Solanum mauritianum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Solanum sisymbriifolium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Striga asiatica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Scrophulariaceae";"Terrestrial";
"Syngonium podophyllum";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Araceae";"Terrestrial";
"Tamarix ramosissima";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Tamaricaceae";"Terrestrial";
"Tecoma capensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Thevetia peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Apocynaceae";"Terrestrial";
"Tradescantia fluminensis";"Plantae";"Magnoliophyta";"Liliopsida";"Commelinales";"Commelinaceae";"Terrestrial";
"Trapa natans";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Trapaceae";"Terrestrial";
"Triadica sebifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Ulex europaeus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Urochloa maxima";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Verbena brasiliensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Verbena rigida";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Vulpia bromoides";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
